ID_ch_wc_cru;ID_iucn;species
4;2;Cephalophus callipygus
5;3;Cephalophus dorsalis
6;6;Cephalophus leucogaster
7;7;Philantomba maxwellii
8;8;Philantomba monticola
9;9;Cephalophus natalensis
10;10;Cephalophus niger
11;11;Cephalophus nigrifrons
12;12;Cephalophus ogilbyi
13;17;Ceratotherium simum
14;19;Cercopithecus mitis
15;20;Cephalophus rufilatus
16;21;Cephalophus silvicultor
17;24;Cephalophus weynsi
18;33;Cercopithecus ascanius
19;34;Lagothrix lagotricha
20;37;Cercopithecus cephus
21;38;Chiroderma salvini
22;40;Chiroderma trinitatum
23;42;Odocoileus hemionus
24;43;Cercopithecus mona
25;44;Cercopithecus neglectus
26;47;Cercopithecus nictitans
27;48;Cercopithecus petaurista
28;50;Odocoileus virginianus
29;54;Chlorocebus aethiops
30;57;Cerdocyon thous
31;58;Capreolus capreolus
32;59;Cervus albirostris
33;64;Chaerephon aloysiisabaudiae
34;65;Chaerephon ansorgei
35;66;Chaerephon bemmeleni
36;67;Chaerephon pumilus
37;68;Chaerephon bivittatus
38;69;Chaerephon chapini
39;72;Chaerephon jobensis
40;73;Chaerephon nigeriae
41;74;Chaerephon plicatus
42;77;Chaerephon major
43;78;Chaerephon russatus
44;83;Chaetodipus formosus
45;85;Chalinolobus nigrogriseus
46;88;Chaetophractus villosus
47;89;Chalinolobus dwyeri
48;90;Chalinolobus gouldii
49;93;Chalinolobus morio
50;96;Myodes rufocanus
51;97;Chalinolobus picatus
52;99;Cloeotis percivali
53;101;Cheiromeles torquatus
54;106;Murina ussuriensis
55;112;Chinchilla chinchilla
56;114;Chiroderma doriae
57;115;Chiroderma villosum
58;117;Chironectes minimus
59;120;Ovis canadensis
60;121;Chiropotes albinasus
61;124;Coelops frithii
62;127;Chlamyphorus truncatus
63;132;Choeroniscus godmani
64;133;Choeroniscus minor
65;135;Choeronycteris mexicana
66;136;Choloepus didactylus
67;137;Choloepus hoffmanni
68;138;Coendou bicolor
69;139;Coendou nycthemera
70;142;Abrothrix jelskii
71;148;Chrotopterus auritus
72;152;Chrysocyon brachyurus
73;155;Pipistrellus hesperus
74;156;Coleura afra
75;157;Colobus angolensis
76;158;Dasypus sabanicola
77;159;Clyomys laticeps
78;160;Dasypus septemcinctus
79;161;Colobus guereza
80;164;Colobus vellerosus
81;166;Connochaetes gnou
82;167;Connochaetes taurinus
83;168;Panthera onca
84;169;Panthera pardus
85;174;Panthera tigris
86;194;Sundamys muelleri
87;195;Crocidura attila
88;200;Crocuta crocuta
89;205;Fukomys bocagei
90;207;Fukomys damarensis
91;208;Fukomys mechowi
92;209;Fukomys ochraceocinereus
93;210;Cryptoprocta ferox
94;212;Plerotes anchietae
95;217;Makalata macrura
96;245;Cuon alpinus
97;246;Cynogale bennettii
98;256;Lepus victoriae
99;258;Cyclopes didactylus
100;259;Cynopterus sphinx
101;262;Cynopterus brachyotis
102;263;Cynopterus horsfieldii
103;264;Emballonura alecto
104;266;Dactylopsila trivirgata
105;267;Rousettus amplexicaudatus
106;273;Genetta abyssinica
107;274;Cynopterus titthaecheilus
108;275;Damaliscus lunatus
109;279;Dasyprocta azarae
110;281;Dasyprocta prymnolopha
111;284;Cyttarops alecto
112;287;Dactylomys dactylinus
113;289;Dasypus hybridus
114;294;Dasypus kappleri
115;295;Dasypus novemcinctus
116;299;Dasyprocta fuliginosa
117;304;Desmodus rotundus
118;305;Diclidurus isabella
119;306;Diclidurus scutatus
120;310;Dasyurus albopunctatus
121;311;Dasyurus maculatus
122;315;Dendrohyrax arboreus
123;316;Dendrohyrax dorsalis
124;321;Dendromus melanotis
125;322;Dendromus mesomelas
126;323;Glossophaga longirostris
127;337;Dephomys defua
128;342;Nanger granti
129;343;Desmana moschata
130;344;Diaemus youngi
131;345;Leptonycteris curasoae
132;347;Diceros bicornis
133;350;Diclidurus albus
134;351;Diclidurus ingens
135;354;Dinomys branickii
136;356;Diphylla ecaudata
137;370;Dipodomys spectabilis
138;374;Distoechurus pennatus
139;375;Dobsonia minor
140;381;Eidolon helvum
141;382;Elaphodus cephalophus
142;388;Dolichotis patagonum
143;389;Dolichotis salinicola
144;392;Dremomys rufigenis
145;397;Atelocynus microtis
146;399;Lycalopex vetulus
147;400;Lycalopex gymnocercus
148;401;Lycalopex culpaeus
149;402;Dyacopterus spadiceus
150;408;Phyllomys lamarum
151;412;Echymipera kalubu
152;419;Echymipera rufescens
153;423;Eidolon dupreanum
154;427;Elephantulus rupestris
155;428;Elephas maximus
156;430;Eliomys quercinus
157;434;Ellobius fuscocapillus
158;435;Ellobius lutescens
159;437;Tlacuatzin canescens
160;438;Emballonura monticola
161;439;Hipposideros ater
162;441;Epomophorus wahlbergi
163;446;Hipposideros diadema
164;447;Moschus moschiferus
165;451;Eonycteris spelaea
166;453;Eozapus setchuanus
167;456;Eonycteris major
168;462;Myodes shanseius
169;463;Wallabia bicolor
170;464;Epixerus ebii
171;465;Cercartetus concinnus
172;466;Epomophorus angolensis
173;468;Epomophorus gambianus
174;469;Epomops buettikoferi
175;470;Epomops dobsonii
176;471;Epomops franqueti
177;472;Eptesicus nilssonii
