"","x"
"1","Abrocoma.cinerea"
"2","Abrothrix.andinus"
"3","Abrothrix.jelskii"
"4","Abrothrix.longipilis"
"5","Abrothrix.olivaceus"
"6","Acomys.airensis"
"7","Acomys.cahirinus"
"8","Acomys.cineraceus"
"9","Acomys.dimidiatus"
"10","Acomys.johannis"
"11","Acomys.kempi"
"12","Acomys.louisae"
"13","Acomys.russatus"
"14","Acomys.spinosissimus"
"15","Acomys.wilsoni"
"16","Acrobates.pygmaeus"
"17","Aepyprymnus.rufescens"
"18","Aeromys.tephromelas"
"19","Aeromys.thomasi"
"20","Aethomys.chrysophilus"
"21","Aethomys.hindei"
"22","Aethomys.ineptus"
"23","Aethomys.kaiseri"
"24","Aethomys.nyikae"
"25","Akodon.albiventer"
"26","Akodon.azarae"
"27","Akodon.cursor"
"28","Akodon.iniscatus"
"29","Akodon.molinae"
"30","Akodon.montensis"
"31","Akodon.paranaensis"
"32","Akodon.toba"
"33","Allactaga.bullata"
"34","Allactaga.elater"
"35","Allactaga.euphratica"
"36","Allactaga.hotsoni"
"37","Allactaga.severtzovi"
"38","Allactaga.sibirica"
"39","Allactaga.williamsi"
"40","Allocricetulus.curtatus"
"41","Allocricetulus.eversmanni"
"42","Alticola.argentatus"
"43","Alticola.lemminus"
"44","Alticola.semicanus"
"45","Alticola.stoliczkanus"
"46","Alticola.strelzowi"
"47","Ammospermophilus.leucurus"
"48","Anomalurus.beecrofti"
"49","Anomalurus.derbianus"
"50","Anomalurus.pusillus"
"51","Anourosorex.squamipes"
"52","Antechinomys.laniger"
"53","Antechinus.flavipes"
"54","Antechinus.swainsonii"
"55","Apodemus.chevrieri"
"56","Apodemus.draco"
"57","Apodemus.flavicollis"
"58","Apodemus.latronum"
"59","Apodemus.mystacinus"
"60","Apodemus.pallipes"
"61","Apodemus.peninsulae"
"62","Apodemus.ponticus"
"63","Apodemus.sylvaticus"
"64","Apodemus.uralensis"
"65","Apodemus.witherbyi"
"66","Arvicanthis.ansorgei"
"67","Arvicanthis.neumanni"
"68","Arvicanthis.niloticus"
"69","Arvicanthis.rufinus"
"70","Arvicola.sapidus"
"71","Arvicola.scherman"
"72","Atelerix.albiventris"
"73","Atelerix.algirus"
"74","Atelerix.frontalis"
"75","Atherurus.africanus"
"76","Atherurus.macrourus"
"77","Auliscomys.sublimis"
"78","Baiomys.musculus"
"79","Baiomys.taylori"
"80","Bandicota.bengalensis"
"81","Bandicota.indica"
"82","Bandicota.savilei"
"83","Belomys.pearsonii"
"84","Berylmys.berdmorei"
"85","Berylmys.bowersi"
"86","Bibimys.labiosus"
"87","Blanfordimys.afghanus"
"88","Blarina.brevicauda"
"89","Blarina.carolinensis"
"90","Blarina.hylophaga"
"91","Blarinella.griselda"
"92","Blarinomys.breviceps"
"93","Brachiones.przewalskii"
"94","Brachylagus.idahoensis"
"95","Callosciurus.caniceps"
"96","Callosciurus.erythraeus"
"97","Callosciurus.finlaysonii"
"98","Callosciurus.nigrovittatus"
"99","Callosciurus.notatus"
"100","Callosciurus.prevostii"
"101","Callosciurus.pygerythrus"
"102","Callospermophilus.lateralis"
"103","Calomys.callosus"
"104","Calomys.expulsus"
"105","Calomys.laucha"
"106","Calomys.lepidus"
"107","Calomys.musculinus"
"108","Calomys.tener"
"109","Calomyscus.baluchi"
"110","Caluromys.derbianus"
"111","Caluromys.lanatus"
"112","Caluromys.philander"
"113","Cannomys.badius"
"114","Cardiocranius.paradoxus"
"115","Caryomys.inez"
"116","Cavia.aperea"
"117","Cavia.fulgida"
"118","Cavia.tschudii"
"119","Cercartetus.nanus"
"120","Cerradomys.maracajuensis"
"121","Cerradomys.scotti"
"122","Cerradomys.subflavus"
"123","Chaetodipus.eremicus"
"124","Chaetodipus.hispidus"
"125","Chaetodipus.intermedius"
"126","Chaetodipus.nelsoni"
"127","Chelemys.macronyx"
"128","Chimarrogale.himalayica"
"129","Chimarrogale.styani"
"130","Chinchilla.chinchilla"
"131","Chionomys.nivalis"
"132","Chiromyscus.chiropus"
"133","Chironectes.minimus"
"134","Chiropodomys.gliroides"
