;species;Genus;Family;Order;body_mass;gen_length;dispersal
514;Abditomys_latidens;Abditomys;Muridae;Rodentia;5.591322745;6.460892748;NA
515;Abeomelomys_sevia;Abeomelomys;Muridae;Rodentia;4.005148983;6.436790614;NA
516;Abrawayaomys_ruschii;Abrawayaomys;Cricetidae;Rodentia;4.142975984;6.379085218;NA
517;Abrocoma_bennettii;Abrocoma;Abrocomidae;Rodentia;5.523458921;6.940148482;NA
518;Abrocoma_boliviensis;Abrocoma;Abrocomidae;Rodentia;5.062595033;6.940148482;NA
519;Abrocoma_budini;Abrocoma;Abrocomidae;Rodentia;4.756216051;6.940148482;NA
520;Abrocoma_cinerea;Abrocoma;Abrocomidae;Rodentia;5.266000765;6.940148482;NA
521;Abrocoma_famatina;Abrocoma;Abrocomidae;Rodentia;4.494182758;6.576157882;NA
522;Abrocoma_shistacea;Abrocoma;Abrocomidae;Rodentia;4.694919478;6.940148482;NA
523;Abrocoma_uspallata;Abrocoma;Abrocomidae;Rodentia;5.101568028;6.940148482;NA
524;Abrocoma_vaccarum;Abrocoma;Abrocomidae;Rodentia;5.449427715;6.940148482;NA
525;Abrothrix_andinus;Abrothrix;Cricetidae;Rodentia;3.215269329;6.379085218;NA
526;Abrothrix_hershkovitzi;Abrothrix;Cricetidae;Rodentia;3.384390263;6.379085218;NA
527;Abrothrix_illutea;Abrothrix;Cricetidae;Rodentia;3.866816413;6.379085218;NA
528;Abrothrix_jelskii;Abrothrix;Cricetidae;Rodentia;3.540959324;6.379085218;NA
529;Abrothrix_lanosus;Abrothrix;Cricetidae;Rodentia;3.326114576;6.379085218;NA
530;Abrothrix_longipilis;Abrothrix;Cricetidae;Rodentia;3.659965444;6.379085218;NA
531;Abrothrix_markhami;Abrothrix;Cricetidae;Rodentia;3.401197382;6.379085218;NA
532;Abrothrix_olivaceus;Abrothrix;Cricetidae;Rodentia;3.199489111;6.379085218;NA
533;Abrothrix_sanborni;Abrothrix;Cricetidae;Rodentia;3.206803244;6.379085218;NA
534;Acerodon_celebensis;Acerodon;Pteropodidae;Chiroptera;5.952827663;7.40397475;NA
535;Acerodon_humilis;Acerodon;Pteropodidae;Chiroptera;6.47173302;7.40397475;NA
536;Acerodon_jubatus;Acerodon;Pteropodidae;Chiroptera;6.991213685;8.202482447;NA
537;Acerodon_leucotis;Acerodon;Pteropodidae;Chiroptera;6.47173302;7.286191715;NA
538;Acerodon_mackloti;Acerodon;Pteropodidae;Chiroptera;6.148318712;7.509335266;NA
1;Acinonyx_jubatus;Acinonyx;Felidae;Carnivora;10.8312704;7.691656823;9.903487553
539;Acomys_airensis;Acomys;Muridae;Rodentia;3.654727871;6.476991593;NA
540;Acomys_cahirinus;Acomys;Muridae;Rodentia;3.717466911;6.476991593;NA
541;Acomys_cilicicus;Acomys;Muridae;Rodentia;3.871201011;6.476991593;NA
542;Acomys_cineraceus;Acomys;Muridae;Rodentia;2.956991445;6.476991593;NA
543;Acomys_dimidiatus;Acomys;Muridae;Rodentia;3.912023005;6.476991593;NA
544;Acomys_ignitus;Acomys;Muridae;Rodentia;3.17805383;6.476991593;NA
545;Acomys_johannis;Acomys;Muridae;Rodentia;4.156597474;6.476991593;NA
546;Acomys_kempi;Acomys;Muridae;Rodentia;3.090587805;6.476991593;NA
547;Acomys_louisae;Acomys;Muridae;Rodentia;3.005187432;6.476991593;NA
548;Acomys_minous;Acomys;Muridae;Rodentia;4.135166557;6.476991593;NA
549;Acomys_mullah;Acomys;Muridae;Rodentia;4.156597474;6.476991593;NA
550;Acomys_nesiotes;Acomys;Muridae;Rodentia;3.601913706;6.476991593;NA
551;Acomys_percivali;Acomys;Muridae;Rodentia;3.090587805;6.476991593;NA
552;Acomys_russatus;Acomys;Muridae;Rodentia;3.745968421;6.476991593;NA
553;Acomys_seurati;Acomys;Muridae;Rodentia;3.654727871;6.476991593;NA
554;Acomys_spinosissimus;Acomys;Muridae;Rodentia;3.277144733;6.476991593;NA
555;Acomys_subspinosus;Acomys;Muridae;Rodentia;3.087399462;6.476991593;NA
556;Acomys_wilsoni;Acomys;Muridae;Rodentia;2.917770732;6.476991593;NA
557;Aconaemys_fuscus;Aconaemys;Octodontidae;Rodentia;4.867149761;7.177818255;NA
558;Aconaemys_porteri;Aconaemys;Octodontidae;Rodentia;4.729332829;7.177818255;NA
559;Aconaemys_sagei;Aconaemys;Octodontidae;Rodentia;4.569439376;7.177818255;NA
560;Acrobates_pygmaeus;Acrobates;Acrobatidae;Diprotodontia;2.62756295;6.905719308;NA
561;Addax_nasomaculatus;Addax;Bovidae;Cetartiodactyla;11.47290898;7.845807503;NA
562;Aegialomys_galapagoensis;Aegialomys;Cricetidae;Rodentia;4.166665224;6.379085218;NA
563;Aegialomys_xanthaeolus;Aegialomys;Cricetidae;Rodentia;4.379398183;6.379085218;NA
564;Aepeomys_lugens;Aepeomys;Cricetidae;Rodentia;3.610917913;6.379085218;NA
565;Aepeomys_reigi;Aepeomys;Cricetidae;Rodentia;3.610917913;6.379085218;NA
2;Aepyceros_melampus;Aepyceros;Bovidae;Cetartiodactyla;10.8703134;7.891372517;8.070906089
3;Aepyceros_melampus;Aepyceros;Bovidae;Cetartiodactyla;10.8703134;7.891372517;7.090076836
4;Aepyprymnus_rufescens;Aepyprymnus;Potoroidae;Diprotodontia;7.941050077;7.191122581;6.396929655
566;Aeretes_melanopterus;Aeretes;Sciuridae;Rodentia;5.507095937;7.23282075;NA
567;Aeromys_tephromelas;Aeromys;Sciuridae;Rodentia;7.079184395;7.608749145;NA
568;Aeromys_thomasi;Aeromys;Sciuridae;Rodentia;7.265562582;7.608749145;NA
569;Aethalops_aequalis;Aethalops;Pteropodidae;Chiroptera;2.708050201;7.348452949;NA
570;Aethalops_alecto;Aethalops;Pteropodidae;Chiroptera;2.708050201;7.348452949;NA
571;Aethomys_bocagei;Aethomys;Muridae;Rodentia;4.156597474;6.436790614;NA
572;Aethomys_chrysophilus;Aethomys;Muridae;Rodentia;4.392595586;6.436790614;NA
574;Aethomys_hindei;Aethomys;Muridae;Rodentia;4.946274535;6.460892748;NA
575;Aethomys_ineptus;Aethomys;Muridae;Rodentia;4.891551413;6.460892748;NA
576;Aethomys_kaiseri;Aethomys;Muridae;Rodentia;4.499698553;6.436790614;NA
578;Aethomys_nyikae;Aethomys;Muridae;Rodentia;4.344000208;6.436790614;NA
579;Aethomys_silindensis;Aethomys;Muridae;Rodentia;4.424677324;6.436790614;NA
580;Aethomys_stannarius;Aethomys;Muridae;Rodentia;4.424677324;6.436790614;NA
581;Aethomys_thomasi;Aethomys;Muridae;Rodentia;4.156597474;6.436790614;NA
582;Ailuropoda_melanoleuca;Ailuropoda;Ursidae;Carnivora;11.6784399;8.565354475;NA
583;Ailurops_melanotis;Ailurops;Phalangeridae;Diprotodontia;9.047821442;7.601084399;NA
584;Ailurops_ursinus;Ailurops;Phalangeridae;Diprotodontia;9.210340372;7.601084399;NA
585;Ailurus_fulgens;Ailurus;Ailuridae;Carnivora;8.550643441;8.202482447;NA
586;Akodon_aerosus;Akodon;Cricetidae;Rodentia;4.094177882;6.379085218;NA
587;Akodon_affinis;Akodon;Cricetidae;Rodentia;3.214466116;6.379085218;NA
588;Akodon_albiventer;Akodon;Cricetidae;Rodentia;3.25617161;6.379085218;NA
589;Akodon_aliquantulus;Akodon;Cricetidae;Rodentia;2.960105096;6.379085218;NA
590;Akodon_azarae;Akodon;Cricetidae;Rodentia;3.229617921;6.379085218;NA
592;Akodon_boliviensis;Akodon;Cricetidae;Rodentia;3.314186005;6.379085218;NA
593;Akodon_budini;Akodon;Cricetidae;Rodentia;3.292126287;6.379085218;NA
594;Akodon_cursor;Akodon;Cricetidae;Rodentia;3.684871433;6.379085218;NA
595;Akodon_dayi;Akodon;Cricetidae;Rodentia;3.48093235;6.379085218;NA
596;Akodon_dolores;Akodon;Cricetidae;Rodentia;3.921775297;6.379085218;NA
597;Akodon_fumeus;Akodon;Cricetidae;Rodentia;3.121924299;6.379085218;NA
598;Akodon_iniscatus;Akodon;Cricetidae;Rodentia;3.356897123;6.379085218;NA
599;Akodon_juninensis;Akodon;Cricetidae;Rodentia;3.663305203;6.379085218;NA
600;Akodon_kofordi;Akodon;Cricetidae;Rodentia;3.384051223;6.379085218;NA
602;Akodon_leucolimnaeus;Akodon;Cricetidae;Rodentia;3.238678452;6.379085218;NA
603;Akodon_lindberghi;Akodon;Cricetidae;Rodentia;3.27336401;6.379085218;NA
604;Akodon_lutescens;Akodon;Cricetidae;Rodentia;3.029650492;6.379085218;NA
605;Akodon_mimus;Akodon;Cricetidae;Rodentia;3.177637077;6.379085218;NA
606;Akodon_molinae;Akodon;Cricetidae;Rodentia;3.496204485;6.379085218;NA
607;Akodon_mollis;Akodon;Cricetidae;Rodentia;3.414113607;6.379085218;NA
608;Akodon_montensis;Akodon;Cricetidae;Rodentia;3.545297726;6.379085218;NA
609;Akodon_mystax;Akodon;Cricetidae;Rodentia;3.481755549;6.379085218;NA
610;Akodon_neocenus;Akodon;Cricetidae;Rodentia;3.746912485;6.379085218;NA
611;Akodon_oenos;Akodon;Cricetidae;Rodentia;3.481755549;6.379085218;NA
612;Akodon_orophilus;Akodon;Cricetidae;Rodentia;3.663305203;6.379085218;NA
613;Akodon_paranaensis;Akodon;Cricetidae;Rodentia;3.481755549;6.379085218;NA
614;Akodon_pervalens;Akodon;Cricetidae;Rodentia;3.481755549;6.379085218;NA
615;Akodon_philipmyersi;Akodon;Cricetidae;Rodentia;3.135494216;6.379085218;NA
616;Akodon_reigi;Akodon;Cricetidae;Rodentia;3.481755549;6.379085218;NA
617;Akodon_sanctipaulensis;Akodon;Cricetidae;Rodentia;3.299533728;6.379085218;NA
618;Akodon_serrensis;Akodon;Cricetidae;Rodentia;3.342861805;6.379085218;NA
619;Akodon_siberiae;Akodon;Cricetidae;Rodentia;3.543853682;6.379085218;NA
620;Akodon_simulator;Akodon;Cricetidae;Rodentia;3.749504076;6.379085218;NA
621;Akodon_spegazzinii;Akodon;Cricetidae;Rodentia;3.353406718;6.379085218;NA
622;Akodon_subfuscus;Akodon;Cricetidae;Rodentia;3.414113607;6.379085218;NA
623;Akodon_surdus;Akodon;Cricetidae;Rodentia;3.663305203;6.379085218;NA
624;Akodon_sylvanus;Akodon;Cricetidae;Rodentia;3.663305203;6.379085218;NA
625;Akodon_toba;Akodon;Cricetidae;Rodentia;3.935739532;6.379085218;NA
626;Akodon_torques;Akodon;Cricetidae;Rodentia;3.663305203;6.379085218;NA
627;Akodon_varius;Akodon;Cricetidae;Rodentia;3.688879454;6.379085218;NA
628;Alcelaphus_buselaphus;Alcelaphus;Bovidae;Cetartiodactyla;11.98877386;7.959930998;NA
5;Alces_alces;Alces;Cervidae;Cetartiodactyla;13.04310543;8.221956951;11.6784399
6;Alces_alces;Alces;Cervidae;Cetartiodactyla;13.04310543;8.221956951;9.60238246
7;Alces_alces;Alces;Cervidae;Cetartiodactyla;13.04310543;8.221956951;8.648221454
629;Alces_americanus;Alces;Cervidae;Cetartiodactyla;13.20202521;8.134635503;NA
630;Alionycteris_paucidentata;Alionycteris;Pteropodidae;Chiroptera;2.787477335;7.348452949;NA
631;Allactaga_balikunica;Allactaga;Dipodidae;Rodentia;4.283586562;6.437953549;NA
632;Allactaga_bullata;Allactaga;Dipodidae;Rodentia;4.283586562;6.437953549;NA
633;Allactaga_elater;Allactaga;Dipodidae;Rodentia;4.077537444;6.437953549;NA
634;Allactaga_euphratica;Allactaga;Dipodidae;Rodentia;5.446737372;6.437953549;NA
635;Allactaga_firouzi;Allactaga;Dipodidae;Rodentia;4.737920245;6.437953549;NA
636;Allactaga_hotsoni;Allactaga;Dipodidae;Rodentia;4.337290741;6.437953549;NA
637;Allactaga_major;Allactaga;Dipodidae;Rodentia;5.857933154;6.437953549;NA
638;Allactaga_severtzovi;Allactaga;Dipodidae;Rodentia;5.068904202;6.437953549;NA
639;Allactaga_sibirica;Allactaga;Dipodidae;Rodentia;4.579852378;6.437953549;NA
640;Allactaga_tetradactyla;Allactaga;Dipodidae;Rodentia;3.951243719;6.437953549;NA
641;Allactaga_vinogradovi;Allactaga;Dipodidae;Rodentia;4.124404734;6.437953549;NA
642;Allactaga_williamsi;Allactaga;Dipodidae;Rodentia;3.149740086;6.437953549;NA
643;Allactodipus_bobrinskii;Allactodipus;Dipodidae;Rodentia;4.17438727;6.587821517;NA
644;Allenopithecus_nigroviridis;Allenopithecus;Cercopithecidae;Primates;8.465891476;8.30013351;NA
645;Allocebus_trichotis;Allocebus;Cheirogaleidae;Primates;4.357862008;7.627307994;NA
646;Allocricetulus_curtatus;Allocricetulus;Cricetidae;Rodentia;3.867715778;6.379085218;NA
647;Allocricetulus_eversmanni;Allocricetulus;Cricetidae;Rodentia;4.749772568;6.641475247;NA
648;Alopex_lagopus;Alopex;Canidae;Carnivora;8.184338005;7.53432833;NA
649;Alouatta_arctoidea;Alouatta;Atelidae;Primates;8.757986291;8.265737915;NA
650;Alouatta_belzebul;Alouatta;Atelidae;Primates;8.725492713;8.384804003;NA
651;Alouatta_caraya;Alouatta;Atelidae;Primates;8.626399104;8.229669506;NA
652;Alouatta_discolor;Alouatta;Atelidae;Primates;8.757986291;8.297792626;NA
653;Alouatta_guariba;Alouatta;Atelidae;Primates;8.554167152;8.265737915;NA
654;Alouatta_juara;Alouatta;Atelidae;Primates;8.757986291;8.265737915;NA
655;Alouatta_macconnelli;Alouatta;Atelidae;Primates;8.888756748;8.265737915;NA
656;Alouatta_nigerrima;Alouatta;Atelidae;Primates;8.751474487;8.265737915;NA
8;Alouatta_palliata;Alouatta;Atelidae;Primates;8.791332473;8.181618995;8.006367568
9;Alouatta_palliata;Alouatta;Atelidae;Primates;8.791332473;8.181618995;7.170119543
657;Alouatta_pigra;Alouatta;Atelidae;Primates;8.877948201;8.202482447;NA
658;Alouatta_puruensis;Alouatta;Atelidae;Primates;8.757986291;8.265737915;NA
659;Alouatta_sara;Alouatta;Atelidae;Primates;8.796496258;8.265737915;NA
660;Alouatta_seniculus;Alouatta;Atelidae;Primates;8.763789172;8.251444025;NA
661;Alouatta_ululata;Alouatta;Atelidae;Primates;8.757986291;8.297792626;NA
662;Alticola_albicaudus;Alticola;Cricetidae;Rodentia;3.7426881;6.379085218;NA
663;Alticola_argentatus;Alticola;Cricetidae;Rodentia;3.629394807;6.379085218;NA
664;Alticola_barakshin;Alticola;Cricetidae;Rodentia;3.834247653;6.379085218;NA
665;Alticola_lemminus;Alticola;Cricetidae;Rodentia;3.834247653;6.379085218;NA
666;Alticola_macrotis;Alticola;Cricetidae;Rodentia;3.583518938;6.379085218;NA
667;Alticola_montosa;Alticola;Cricetidae;Rodentia;3.834247653;6.379085218;NA
668;Alticola_olchonensis;Alticola;Cricetidae;Rodentia;3.7426881;6.379085218;NA
669;Alticola_roylei;Alticola;Cricetidae;Rodentia;3.610917913;6.379085218;NA
670;Alticola_semicanus;Alticola;Cricetidae;Rodentia;3.834247653;6.379085218;NA
671;Alticola_stoliczkanus;Alticola;Cricetidae;Rodentia;3.405853193;6.379085218;NA
672;Alticola_strelzowi;Alticola;Cricetidae;Rodentia;3.911822985;6.379085218;NA
673;Alticola_tuvinicus;Alticola;Cricetidae;Rodentia;3.834247653;6.379085218;NA
674;Amblysomus_corriae;Amblysomus;Chrysochloridae;Afrosoricida;3.8032121;6.943660486;NA
675;Amblysomus_hottentotus;Amblysomus;Chrysochloridae;Afrosoricida;4.136765278;6.943660486;NA
676;Amblysomus_marleyi;Amblysomus;Chrysochloridae;Afrosoricida;3.590301441;6.943660486;NA
677;Amblysomus_robustus;Amblysomus;Chrysochloridae;Afrosoricida;4.375757022;6.943660486;NA
678;Amblysomus_septentrionalis;Amblysomus;Chrysochloridae;Afrosoricida;3.23277873;6.943660486;NA
679;Ametrida_centurio;Ametrida;Phyllostomidae;Chiroptera;2.361796953;7.632535008;NA
680;Ammodillus_imbellis;Ammodillus;Muridae;Rodentia;3.911822985;6.436790614;NA
681;Ammodorcas_clarkei;Ammodorcas;Bovidae;Cetartiodactyla;10.24173714;7.845807503;NA
682;Ammospermophilus_harrisii;Ammospermophilus;Sciuridae;Rodentia;4.840795515;6.951342646;NA
683;Ammospermophilus_interpres;Ammospermophilus;Sciuridae;Rodentia;4.723219853;6.951342646;NA
684;Ammospermophilus_leucurus;Ammospermophilus;Sciuridae;Rodentia;4.643621372;7.094494397;NA
