"","species","body_mass.mean","gen_length.mean","dispersal.mean"
"7","Abrocoma.cinerea",5.266000765,1.04025112841751,5.32464437601865
"12","Abrothrix.andinus",3.215269329,0.479187864417509,4.70957904509012
"15","Abrothrix.jelskii",3.540959324,0.479187864417509,4.3815824828459
"17","Abrothrix.longipilis",3.659965444,0.479187864417509,3.81569667063084
"19","Abrothrix.olivaceus",3.199489111,0.479187864417509,4.71082892407612
"21","Acomys.airensis",3.654727871,0.577094239417509,4.68232266829104
"22","Acomys.cahirinus",3.717466911,0.577094239417509,4.6687409650977
"24","Acomys.cineraceus",2.956991445,0.577094239417509,5.16479637810925
"25","Acomys.dimidiatus",3.912023005,0.577094239417509,4.49432107651927
"27","Acomys.johannis",4.156597474,0.577094239417509,4.48274864404919
"28","Acomys.kempi",3.090587805,0.577094239417509,5.16479637810925
"29","Acomys.louisae",3.005187432,0.577094239417509,5.16479637810925
"34","Acomys.russatus",3.745968421,0.577094239417509,4.6687409650977
"36","Acomys.spinosissimus",3.277144733,0.577094239417509,5.25715886592883
"38","Acomys.wilsoni",2.917770732,0.577094239417509,4.95966406339877
"42","Acrobates.pygmaeus",2.62756295,1.00582195441751,5.48695954774381
"47","Aepyprymnus.rufescens",7.941050077,1.29122522741751,6.396929655
"49","Aeromys.tephromelas",7.079184395,1.70885179141751,8.47284493204087
"50","Aeromys.thomasi",7.265562582,1.70885179141751,8.83631974609494
"52","Aethomys.chrysophilus",4.392595586,0.536893260417509,4.41628143377818
"53","Aethomys.hindei",4.946274535,0.560995394417508,5.7951771666786
"54","Aethomys.ineptus",4.891551413,0.560995394417508,5.77861126653197
"55","Aethomys.kaiseri",4.499698553,0.536893260417509,4.53030511172794
"56","Aethomys.nyikae",4.344000208,0.536893260417509,4.1500214365094
"62","Akodon.albiventer",3.25617161,0.479187864417509,4.70297893842515
"64","Akodon.azarae",3.229617921,0.479187864417509,4.70957904509012
"67","Akodon.cursor",3.684871433,0.479187864417509,3.75586472703948
"71","Akodon.iniscatus",3.356897123,0.479187864417509,4.80642339927415
"78","Akodon.molinae",3.496204485,0.479187864417509,4.38713117272192
"80","Akodon.montensis",3.545297726,0.479187864417509,4.3815824828459
"85","Akodon.paranaensis",3.481755549,0.479187864417509,4.38713117272192
"97","Akodon.toba",3.935739532,0.479187864417509,3.479719943683
"101","Allactaga.bullata",4.283586562,0.538056195417509,4.36665800562934
"102","Allactaga.elater",4.077537444,0.538056195417509,4.26264536382399
"103","Allactaga.euphratica",5.446737372,0.538056195417509,5.7285840732652
"105","Allactaga.hotsoni",4.337290741,0.538056195417509,4.37413385645859
"107","Allactaga.severtzovi",5.068904202,0.538056195417509,5.60335735616167
"108","Allactaga.sibirica",4.579852378,0.538056195417509,5.59615631657786
"111","Allactaga.williamsi",3.149740086,0.538056195417509,5.15278001294034
"113","Allocricetulus.curtatus",3.867715778,0.479187864417509,3.46375121549661
