IUCN.binomial,AllGeogRange,Body.mass.g,LitSz,AdultHeadBodyLen.mm,GestLen.d,LitPerYear,SocGrpSz,WeanAge.d,SMA.d,NeonateBodyMass.g,MaxLifepsan.m,PopDen.n.km2,brain.mass.g,IBI.d
Abeomelomys_sevia,10963,54.88,1,127.29,108.1133135,1.065721509,23.67815489,68.75990827,336.8106657,6.97877388,114.2705616,200.986876,1.187992239,339.9301632
Abrawayaomys_ruschii,105714,62.99,2.520982634,118.2117762,34.28253429,1.884924309,1.00695555,29.85642276,204.0929058,4.674794712,41.27359475,1427.417089,1.18328337,126.0926945
Abrocoma_bennettii,162359,250.5,4.86,190.5930704,30.03744545,2,1,54.55198376,243.0412992,6.622057022,27.6,143.85,2.829227052,149.8208279
Abrocoma_budini,5353,116.305,2.611646903,149.4849852,37.83412662,1.019436952,1.382399899,48.36407884,295.310815,6.164846168,69.45729005,292.5917666,1.644309899,299.8638663
Abrocoma_cinerea,532000,193.64,2.19,185.9209891,109.49,1.425646014,6,77.32552163,394.9346957,13.26,141.1683557,66.13580528,3.585613207,232.7514098
Abrocoma_famatina,5349,89.495,2.133509774,144.8918956,46.7082494,1.022281109,2.956330379,34.74369792,193.1126645,5.988616162,78.76955924,1536.323078,1.239033691,248.1111202
Abrocoma_uspallata,10111,164.2793,2.026377024,194.2181216,67.14606441,1.025660677,1.714722209,80.14683834,356.7938555,15.21812295,131.5054977,92.33010573,3.038861498,350.7538396
Abrocoma_vaccarum,5155,232.625,2.376904889,207.7672684,58.13024517,1.025660677,1.585478739,70.92303596,345.4521221,14.41708625,117.6768993,71.57550651,4.1976191,333.1551824
Abrothrix_andinus,947191,24.91,3.568618169,91.627233,24.58872208,1.851829772,1,57.9440038,219.9041084,0.672874091,53.52276755,92.71157802,0.638769938,151.949082
Abrothrix_hershkovitzi,29806,29.5,2.715327989,102.0293021,29.44296803,1.599352349,1.01395948,69.31221063,323.4819243,0.727095293,40.96193907,206.3900426,0.644581016,170.7914038
Abrothrix_illutea,69947,47.79,2.901185192,113.2543296,29.47614894,2.334736291,1.00695555,23.54199536,110.58617,3.981273986,34.76582384,1298.535767,1.086131137,53.16218903
Abrothrix_jelskii,607913,34.5,3.700482526,104.1298504,24.61823707,2.944236163,1.035264924,25.53665587,79.15554669,2.319768068,42.02019786,202.7971593,0.781227121,33.76964827
Abrothrix_lanosus,146238,27.83,2.196147565,100.3537976,34.17169187,1.827731209,1,66.08162165,299.6167348,1.055101878,44.01455735,106.0311009,0.737673905,160.5818502
Abrothrix_longipilis,750578,38.86,3.7,113.4482141,22.20952429,2.5,1.093026895,18.35117213,51.73,3.29,32.04799473,2777.2,0.796342811,17
Abrothrix_markhami,158,30,3.762538199,100.4399564,26.97182582,2.555786793,1.296312399,23.48464714,70.83986513,2.230503362,39.76490576,1084.924844,0.707461818,34.24504209
Abrothrix_olivaceus,10397,24.52,5.34,96.69,27.29780139,2,1.033929497,24.85038148,170.38,1.51943459,12,3211.81,0.604918819,94.24125536
Abrothrix_sanborni,84958,24.7,2.085621311,96.38871531,35.24840367,1.769650289,1,67.82035709,285.160977,1.01061794,43.8037831,113.3435117,0.706461752,164.9578248
Acerodon_celebensis,169512,384.84,0.98,201.25,139.0125489,1.88541783,37.94908586,103.0728224,457.3036901,34.19918542,183.4411497,39.43310088,5.884159003,195.2195347
Acerodon_humilis,18378,87.69400477,2.04299507,145.8645255,45.54574488,0.995772567,2.794142227,37.16187846,227.8756039,6.198728654,83.93237984,1091.667291,1.233030347,265.3016675
Acerodon_jubatus,277324,1087.04,1,345.5261945,157.1902189,1,1000,142.0607962,1102.4735,115.6296544,308.6737629,35.73405566,30.91521234,389.5596262
Acerodon_leucotis,12476,90.07010829,3.062004363,143.3646076,34.17697137,1.133824121,1.182028178,31.75550536,190.585894,4.428111162,46.99458404,1807.054497,1.341829329,243.6646826
Acerodon_mackloti,7386,467.93,0.98,201.8515341,135.5352772,2,500,121.3889145,459.5770431,36.08683907,175.9606736,92.16212284,5.015550531,202.3339234
Acinonyx_jubatus,9471817,50577.92,3.28,1480.43,92.24,0.65,1,91.42,741.97,441.66,228,0.01,94.8915,547.5
Acomys_airensis,6878250,11.45254634,0.999058665,51.55464191,117.3598541,1.004062882,560.7828264,60.37797786,441.5125622,2.783349754,185.5600346,237.6450444,0.288411568,323.5371931
