MSW3_ID,genus,species,binomial,MSWFamilyLatin,Diet_Inv,Diet_Vend,Diet_Vect,Diet_Vfish,Diet_Vunk,Diet_Scav,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_PlantO,Diet_Source,Diet_Certainty,ForStrat_Value,ForStrat_Certainty,BodyMass_Value,Activity_Nocturnal,Activity_Crepuscular,Activity_Diurnal,Activity_Source,Activity_Certainty,,BodyMass_Source,BodyMass_SpecLevel
1,Caluromys,philander,Caluromys_philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,229.25,1,1,0,Ref_1,ABC,,Ref_117,1
2,Caluromys,derbianus,Caluromys_derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,297,1,1,0,Ref_1,ABC,,Ref_117,1
3,Caluromys,lanatus,Caluromys_lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,325,1,1,0,Ref_1,ABC,,Ref_117,1
4,Caluromysiops,irrupta,Caluromysiops_irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,250,1,0,0,Ref_1,ABC,,Ref_117,1
5,Glironia,venusta,Glironia_venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,114,1,0,0,Ref_1,ABC,,Ref_117,1
6,Chironectes,minimus,Chironectes_minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,946,1,0,0,Ref_1,ABC,,Ref_117,1
7,Didelphis,aurita,Didelphis_aurita,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,1163.99,1,0,0,Ref_1,ABC,,Ref_117,1
8,Didelphis,imperfecta,Didelphis_imperfecta,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,S,A,1260.04,1,0,0,Ref_1,ABC,,"Ref_2, Ref_3",0
9,Didelphis,marsupialis,Didelphis_marsupialis,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,1091.16,1,0,0,Ref_1,ABC,,Ref_117,1
10,Didelphis,pernigra,Didelphis_pernigra,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_2,D1,S,A,1260.04,1,0,0,Ref_1,ABC,,"Ref_2, Ref_3",0
11,Didelphis,virginiana,Didelphis_virginiana,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,2195.48,1,0,0,Ref_1,ABC,,Ref_117,1
12,Didelphis,albiventris,Didelphis_albiventris,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,904,1,0,0,Ref_1,ABC,,Ref_117,1
13,Gracilinanus,formosus,Gracilinanus_formosus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,18.9,1,1,0,Ref_2,D1,,"Ref_2, Ref_3",0
14,Gracilinanus,emiliae,Gracilinanus_emiliae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,7.6,1,1,0,Ref_1,ABC,,Ref_117,1
15,Gracilinanus,microtarsus,Gracilinanus_microtarsus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,31,1,1,0,Ref_1,ABC,,Ref_117,1
16,Gracilinanus,marica,Gracilinanus_marica,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,23.8,1,1,0,Ref_1,ABC,,Ref_117,1
17,Gracilinanus,dryas,Gracilinanus_dryas,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,18,1,1,0,Ref_1,ABC,,Ref_117,1
18,Gracilinanus,aceramarcae,Gracilinanus_aceramarcae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,20.5,1,1,0,Ref_1,ABC,,Ref_117,1
19,Cryptonanus,agricolai,Cryptonanus_agricolai,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,18.9,1,1,0,Ref_2,D1,,"Ref_2, Ref_3",0
20,Cryptonanus,chacoensis,Cryptonanus_chacoensis,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,18.9,1,1,0,Ref_2,D1,,"Ref_2, Ref_3",0
21,Gracilinanus,agilis,Gracilinanus_agilis,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,22,1,1,0,Ref_1,ABC,,Ref_117,1
22,Gracilinanus,ignitus,Gracilinanus_ignitus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,18.9,1,1,0,Ref_2,D1,,"Ref_2, Ref_3",0
23,Hyladelphys,kalinowskii,Hyladelphys_kalinowskii,Didelphidae,60,10,0,0,0,10,20,0,0,0,Ref_3,D2,Ar,A,16.75,1,0,0,Ref_3,D2,,Ref_155,1
24,Lestodelphys,halli,Lestodelphys_halli,Didelphidae,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,S,A,76,1,0,0,Ref_1,ABC,,Ref_117,1
25,Lutreolina,crassicaudata,Lutreolina_crassicaudata,Didelphidae,20,40,20,20,0,0,0,0,0,0,Ref_1,ABC,S,A,537.3,1,0,0,Ref_1,ABC,,Ref_117,1
26,Marmosa,murina,Marmosa_murina,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,26,1,0,0,Ref_1,ABC,,Ref_117,1
27,Marmosa,xerophila,Marmosa_xerophila,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,46.2,1,0,0,Ref_1,ABC,,Ref_117,1
28,Marmosa,tyleriana,Marmosa_tyleriana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,32.4,1,0,0,Ref_1,ABC,,Ref_117,1
29,Marmosa,rubra,Marmosa_rubra,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,63,1,0,0,Ref_1,ABC,,Ref_117,1
30,Marmosa,quichua,Marmosa_quichua,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_2,D1,Ar,A,38.23,1,0,0,Ref_2,D1,,"Ref_2, Ref_3",0
31,Marmosa,mexicana,Marmosa_mexicana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,49.45,1,0,0,Ref_1,ABC,,Ref_117,1
32,Marmosa,lepida,Marmosa_lepida,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,14,1,0,0,Ref_1,ABC,,Ref_117,1
33,Marmosa,andersoni,Marmosa_andersoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,47.4,1,0,0,Ref_1,ABC,,Ref_117,1
34,Marmosa,robinsoni,Marmosa_robinsoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,56.67,1,0,0,Ref_1,ABC,,Ref_117,1
35,Marmosops,handleyi,Marmosops_handleyi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,30.7,1,0,0,Ref_1,ABC,,Ref_117,1
36,Marmosops,juninensis,Marmosops_juninensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,31.57,1,0,0,Ref_2,D1,,"Ref_2, Ref_3",0
37,Marmosops,pinheiroi,Marmosops_pinheiroi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_23,ABC,Ar,A,31.57,1,0,0,Ref_2,D1,,"Ref_2, Ref_3",0
38,Marmosops,paulensis,Marmosops_paulensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,38.89,1,0,0,Ref_2,D1,,Ref_58,1
39,Marmosops,parvidens,Marmosops_parvidens,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,15,1,0,0,Ref_1,ABC,,Ref_117,1
40,Marmosops,noctivagus,Marmosops_noctivagus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,21,1,0,0,Ref_1,ABC,,Ref_117,1
41,Marmosops,neblina,Marmosops_neblina,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,31.57,1,0,0,Ref_2,D1,,"Ref_2, Ref_3",0
42,Marmosops,bishopi,Marmosops_bishopi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,19.5,1,0,0,Ref_2,D1,,Ref_132,1
43,Marmosops,impavidus,Marmosops_impavidus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,40.5,1,0,0,Ref_1,ABC,,Ref_117,1
44,Marmosops,incanus,Marmosops_incanus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,62.3,1,0,0,Ref_1,ABC,,Ref_117,1
45,Marmosops,fuscatus,Marmosops_fuscatus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,60,1,0,0,Ref_1,ABC,,Ref_117,1
46,Marmosops,dorothea,Marmosops_dorothea,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,37.5,1,0,0,Ref_1,ABC,,Ref_117,1
47,Marmosops,cracens,Marmosops_cracens,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,25.5,1,0,0,Ref_1,ABC,,Ref_117,1
