TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
42641,Rodentia,Muridae,Abditomys,Abditomys_latidens,268.09,639.6318318,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
17879,Rodentia,Muridae,Abeomelomys,Abeomelomys_sevia,54.88,624.3996409,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
16,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys_ruschii,62.99,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
42656,Rodentia,Abrocomidae,Abrocoma,Abrocoma_bennettii,250.5,1032.923574,PanTHERIA,839.5,PanTHERIA;AnAge,no_information,no_information,no_information,no_information,,Mean_order_same_mass
18,Rodentia,Abrocomidae,Abrocoma,Abrocoma_boliviensis,158,1032.923574,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
136334,Rodentia,Abrocomidae,Abrocoma,Abrocoma_budini,116.305,1032.923574,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
42657,Rodentia,Abrocomidae,Abrocoma,Abrocoma_cinerea,193.64,1032.923574,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
136367,Rodentia,Abrocomidae,Abrocoma,Abrocoma_famatina,89.495,717.7762436,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
136525,Rodentia,Abrocomidae,Abrocoma,Abrocoma_shistacea,109.39,1032.923574,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
136302,Rodentia,Abrocomidae,Abrocoma,Abrocoma_uspallata,164.2793,1032.923574,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
136546,Rodentia,Abrocomidae,Abrocoma,Abrocoma_vaccarum,232.625,1032.923574,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_order_same_mass
4803,Rodentia,Cricetidae,Abrothrix,Abrothrix_andinus,24.91,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
734,Rodentia,Cricetidae,Abrothrix,Abrothrix_hershkovitzi,29.5,589.3882991,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
735,Rodentia,Cricetidae,Abrothrix,Abrothrix_illutea,47.79,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
4804,Rodentia,Cricetidae,Abrothrix,Abrothrix_jelskii,34.5,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
740,Rodentia,Cricetidae,Abrothrix,Abrothrix_lanosus,27.83,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
743,Rodentia,Cricetidae,Abrothrix,Abrothrix_longipilis,38.86,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
745,Rodentia,Cricetidae,Abrothrix,Abrothrix_markhami,30,589.3882991,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
751,Rodentia,Cricetidae,Abrothrix,Abrothrix_olivaceus,24.52,589.3882991,PanTHERIA,365,PanTHERIA,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
754,Rodentia,Cricetidae,Abrothrix,Abrothrix_sanborni,24.7,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
137,Chiroptera,Pteropodidae,Acerodon,Acerodon_celebensis,384.84,1642.5,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
138,Chiroptera,Pteropodidae,Acerodon,Acerodon_humilis,646.6033333,1642.5,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
139,Chiroptera,Pteropodidae,Acerodon,Acerodon_jubatus,1087.04,3650,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
140,Chiroptera,Pteropodidae,Acerodon,Acerodon_leucotis,646.6033333,1460,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
142,Chiroptera,Pteropodidae,Acerodon,Acerodon_mackloti,467.93,1825,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
219,Carnivora,Felidae,Acinonyx,Acinonyx_jubatus,50577.92,2190,PanTHERIA,7117.5,PanTHERIA;AnAge;Carn_Ung,5900.23,1217.27,PanTHERIA,2928.3367,,GMA
44936,Rodentia,Muridae,Acomys,Acomys_airensis,38.657,650.0125,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
263,Rodentia,Muridae,Acomys,Acomys_cahirinus,41.16,650.0125,PanTHERIA,1989.25,PanTHERIA;AnAge,1886.25,103,PanTHERIA,650.0125,,Rspan-AFB
264,Rodentia,Muridae,Acomys,Acomys_cilicicus,48,650.0125,Encyclopedia_of_Life_(eol.org),1460,AnAge,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
265,Rodentia,Muridae,Acomys,Acomys_cineraceus,19.24,650.0125,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136471,Rodentia,Muridae,Acomys,Acomys_dimidiatus,50,650.0125,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
266,Rodentia,Muridae,Acomys,Acomys_ignitus,24,650.0125,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
44938,Rodentia,Muridae,Acomys,Acomys_johannis,63.85388804,650.0125,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
267,Rodentia,Muridae,Acomys,Acomys_kempi,21.99,650.0125,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
