"","x"
"1","Abeomelomys_sevia"
"2","Abrocoma_bennettii"
"3","Abrocoma_cinerea"
"4","Abrocoma_shistacea"
"5","Abrothrix_andinus"
"6","Abrothrix_illutea"
"7","Abrothrix_jelskii"
"8","Abrothrix_longipilis"
"9","Abrothrix_olivaceus"
"10","Acomys_airensis"
"11","Acomys_cahirinus"
"12","Acomys_cineraceus"
"13","Acomys_dimidiatus"
"14","Acomys_johannis"
"15","Acomys_kempi"
"16","Acomys_louisae"
"17","Acomys_minous"
"18","Acomys_mullah"
"19","Acomys_percivali"
"20","Acomys_russatus"
"21","Acomys_seurati"
"22","Acomys_spinosissimus"
"23","Acomys_subspinosus"
"24","Acomys_wilsoni"
"25","Aconaemys_fuscus"
"26","Aconaemys_sagei"
"27","Acrobates_pygmaeus"
"28","Aegialomys_xanthaeolus"
"29","Aepeomys_reigi"
"30","Aepyprymnus_rufescens"
"31","Aeromys_tephromelas"
"32","Aeromys_thomasi"
"33","Aethomys_chrysophilus"
"34","Aethomys_hindei"
"35","Aethomys_ineptus"
"36","Aethomys_kaiseri"
"37","Aethomys_nyikae"
"38","Aethomys_silindensis"
"39","Aethomys_stannarius"
"40","Aethomys_thomasi"
"41","Akodon_affinis"
"42","Akodon_albiventer"
"43","Akodon_aliquantulus"
"44","Akodon_azarae"
"45","Akodon_budini"
"46","Akodon_cursor"
"47","Akodon_dayi"
"48","Akodon_fumeus"
"49","Akodon_iniscatus"
"50","Akodon_juninensis"
"51","Akodon_kofordi"
"52","Akodon_lindberghi"
"53","Akodon_mimus"
"54","Akodon_molinae"
"55","Akodon_mollis"
"56","Akodon_montensis"
"57","Akodon_orophilus"
"58","Akodon_paranaensis"
"59","Akodon_pervalens"
"60","Akodon_philipmyersi"
"61","Akodon_reigi"
"62","Akodon_serrensis"
"63","Akodon_siberiae"
"64","Akodon_simulator"
"65","Akodon_spegazzinii"
"66","Akodon_subfuscus"
"67","Akodon_sylvanus"
"68","Akodon_toba"
"69","Akodon_torques"
"70","Allactaga_bullata"
"71","Allactaga_elater"
"72","Allactaga_euphratica"
"73","Allactaga_hotsoni"
"74","Allactaga_major"
"75","Allactaga_severtzovi"
"76","Allactaga_sibirica"
"77","Allactaga_vinogradovi"
"78","Allactaga_williamsi"
"79","Allocricetulus_curtatus"
"80","Allocricetulus_eversmanni"
"81","Alticola_albicaudus"
"82","Alticola_argentatus"
"83","Alticola_lemminus"
"84","Alticola_macrotis"
"85","Alticola_semicanus"
"86","Alticola_stoliczkanus"
"87","Alticola_strelzowi"
"88","Alticola_tuvinicus"
"89","Amblysomus_corriae"
"90","Amblysomus_hottentotus"
"91","Amblysomus_septentrionalis"
"92","Ammodillus_imbellis"
"93","Ammospermophilus_interpres"
"94","Ammospermophilus_leucurus"
"95","Ammospermophilus_nelsoni"
"96","Andalgalomys_olrogi"
"97","Andalgalomys_pearsoni"
"98","Anomalurus_beecrofti"
"99","Anomalurus_derbianus"
"100","Anomalurus_pelii"
"101","Anomalurus_pusillus"
"102","Anotomys_leander"
"103","Anourosorex_schmidi"
"104","Anourosorex_squamipes"
"105","Anourosorex_yamashinai"
"106","Antechinomys_laniger"
"107","Antechinus_adustus"
"108","Antechinus_bellus"
"109","Antechinus_flavipes"
"110","Antechinus_godmani"
"111","Antechinus_leo"
"112","Antechinus_minimus"
"113","Antechinus_subtropicus"
"114","Antechinus_swainsonii"
